title,company,salary,description,link,source,scraped_at,location
Kuchař / Pizzař – Finestra - italská restaurace Vyškov,iMarket s.r.o.,30 000 ‍–‍ 50 000 Kč,,https://www.jobs.cz/rpd/2000963014/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288644.971107,Vyškov
Customer Success pro Atmoskop,Alma Career Czechia s.r.o.,,,https://www.jobs.cz/rpd/2000962951/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288646.065994,Praha – Libeň
Project Partner Operations Lead (Remote),Flash Global Logistics,,,https://www.jobs.cz/rpd/2000918470/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288646.6613429,Jablonec nad Nisou – Rýnovice
Partner Manager (Remote),Flash Global Logistics,,,https://www.jobs.cz/rpd/2000918292/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288647.2070558,Jablonec nad Nisou – Rýnovice
HLEDÁME PORADCE NA POBOČKU DO UHERSKÉHO HRADIŠTĚ (HPP),Generali Česká Distribuce,,"O nás
Volná místa
Proč k nám
Obchodní kariéra
Trainee program
Studenti a absolventi
Kontakt
GDPR
© 2026 Generali Česká pojišťovna

Powered by Alma Career

Generali Česká pojišťovna
Naše hodnoty
Benefity
Jaké to u nás je
Podporujeme
Volná místa
Všechna volná místa
Volná místa Obchod
Volná místa Call centrum
Volná místa Studenti a absolventi
Výběrové řízení
Průběh výběrového řízení
Kontakty
Kontakt centrála
Napište nám
Nahlásit nezákonný obsah
Nastavení cookies
Transparentnost
Reklama na portálech Alma Career
Zásady ochrany soukromí
Podmínky používání

© Alma Career Czechia s.r.o. Vizuální podoba webové stránky může být rovněž předmětem autorských práv třetích stran

Webovou stránku stránku pro klienta vytvořila a provozuje Alma Career Czechia s.r.o., IČO 26441381, se sídlem Menclova 2538/2, Libeň, 180 00 Praha 8, sp. zn. C 82484 vedená u Městského soudu v Praze.",https://www.jobs.cz/rpd/2000909716/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288648.2397542,Uherské Hradiště
Manažer prodeje / sales,Industrien s.r.o.,65 000 ‍–‍ 100 000 Kč,,https://www.jobs.cz/rpd/2000962066/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288649.0318234,Praha – Vršovice
Obchodník Junior (m/ž),O2 Czech Republic a.s.,60 000 ‍–‍ 90 000 Kč,,https://www.jobs.cz/rpd/2000199303/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288649.8763795,Praha
SPECIALISTA/KA OCEŇOVÁNÍ ŽIVOTNÍCH A ÚRAZOVÝCH RIZIK-UNDERWRITING,Generali Česká pojišťovna,,"O nás
Volná místa
Proč k nám
Obchodní kariéra
Trainee program
Studenti a absolventi
Kontakt
GDPR
© 2026 Generali Česká pojišťovna

Powered by Alma Career

Generali Česká pojišťovna
Naše hodnoty
Benefity
Jaké to u nás je
Podporujeme
Volná místa
Všechna volná místa
Volná místa Obchod
Volná místa Call centrum
Volná místa Studenti a absolventi
Výběrové řízení
Průběh výběrového řízení
Kontakty
Kontakt centrála
Napište nám
Nahlásit nezákonný obsah
Nastavení cookies
Transparentnost
Reklama na portálech Alma Career
Zásady ochrany soukromí
Podmínky používání

© Alma Career Czechia s.r.o. Vizuální podoba webové stránky může být rovněž předmětem autorských práv třetích stran

Webovou stránku stránku pro klienta vytvořila a provozuje Alma Career Czechia s.r.o., IČO 26441381, se sídlem Menclova 2538/2, Libeň, 180 00 Praha 8, sp. zn. C 82484 vedená u Městského soudu v Praze.",https://www.jobs.cz/rpd/2000831178/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288651.1807652,Praha – Michle
SOLUTION ARCHITEKT/KA,VŠEOBECNÁ ZDRAVOTNÍ POJIŠŤOVNA ČESKÉ REPUBLIKY,,"Přeskočit na hlavní obsah
Úvod
Proč pracovat u nás
Naše týmy
Pro studenty a absolventy
Pro handicapované
Volná místa
Úvod
Proč pracovat u nás
Práce v IT
Pro lékaře
Pro studenty a absolventy
Pro handicapované
Volná místa
    
Přejít na www.vzp.cz 
© 2026 VZP ČR, Všechna práva vyhrazena | Powered by Alma Career
Nahlásit nezákonný obsah
Nastavení cookies
Transparentnost
Reklama na portálech Alma Career
Zásady ochrany soukromí
Podmínky používání

© Alma Career Czechia s.r.o. Vizuální podoba webové stránky může být rovněž předmětem autorských práv třetích stran

Webovou stránku stránku pro klienta vytvořila a provozuje Alma Career Czechia s.r.o., IČO 26441381, se sídlem Menclova 2538/2, Libeň, 180 00 Praha 8, sp. zn. C 82484 vedená u Městského soudu v Praze.",https://www.jobs.cz/rpd/2000894305/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288652.0252535,Praha – Vinohrady
Business Analyst with German,xITee k.s.,,,https://www.jobs.cz/rpd/2000923261/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288652.7882798,Praha – Staré Město + 1 další lokalita
Senior Network Engineer – Mobile PS Core (EPC + 5GC) (m/ž),O2 Czech Republic a.s.,,,https://www.jobs.cz/rpd/2000783411/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288653.8066764,Praha – Michle
Technolog vstřikování plastů - Specialista,MD ELEKTRONIK spol. s r.o.,,,https://www.jobs.cz/rpd/2000792985/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288654.4403336,Chotěšov
Obchodník Junior (m/ž),O2 Czech Republic a.s.,60 000 ‍–‍ 80 000 Kč,,https://www.jobs.cz/rpd/2000945844/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288655.068815,Česká republika
Regionální Manažer Farmacie Praha,"PRAGOMED, s.r.o.",60 000 ‍–‍ 70 000 Kč,,https://www.jobs.cz/rpd/2000818797/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288655.6264443,Praha – Smíchov
Dělník v elektrotechnice,MD ELEKTRONIK spol. s r.o.,,,https://www.jobs.cz/rpd/2000606600/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288656.3746748,Chotěšov
Specialista/ka HR marketingu,HP TRONIC,,,https://www.jobs.cz/rpd/2000906473/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288657.4709628,Zlín
Obchodní zástupce pro firemní zákazníky (m/ž),O2 Czech Republic a.s.,90 000 ‍–‍ 140 000 Kč,,https://www.jobs.cz/rpd/2000940505/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288658.3142457,Moravskoslezský kraj + 7 dalších lokalit
O2 Obchodní partner - akvizice optických lokalit,O2 Czech Republic a.s.,,,https://www.jobs.cz/rpd/2000928991/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288659.0188215,Praha – Michle
O2 Obchodní partner - akvizice optických lokalit,O2 Czech Republic a.s.,,,https://www.jobs.cz/rpd/2000922887/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288659.7435067,Ústecký kraj
Obchodní administrativa v terénu (m/ž),O2 Czech Republic a.s.,70 000 ‍–‍ 100 000 Kč,,https://www.jobs.cz/rpd/2000232800/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=228,Jobs.cz,1767288660.6610901,Česká republika
Vedoucí směny (Logistika),"Authentica, s.r.o.",,,https://www.jobs.cz/rpd/2000935070/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288661.1534812,Syrovice
Sous-chef (zástupce/kyně šéfkuchaře) ve veganské restauraci,Guacamole s.r.o.,30 000 ‍–‍ 40 000 Kč,,https://www.jobs.cz/rpd/2000875192/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288661.8009055,Brno – Brno-město
Hlavní stavbyvedoucí Praha,"Čech & syn Stavební společnost, a.s.",60 000 ‍–‍ 90 000 Kč,,https://www.jobs.cz/rpd/2000946350/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288662.549089,Praha
